	GENE	ctrl_mean_reads	mean_fc	eb_std	zscore	std sgRNAs/gene	numObs
KRTAP12-4-2	KRTAP12-4	1845.667	-0.144	0.321	-0.449	0.351	5.000
SHC2-4	SHC2	1845.333	-0.235	0.321	-0.734	0.393	5.000
TMEM176A-2	TMEM176A	1844.000	-0.115	0.321	-0.360	0.296	5.000
C8orf31-5	C8orf31	1842.667	-0.157	0.321	-0.490	0.271	5.000
ARID3A-1	ARID3A	1842.333	0.334	0.321	1.041	0.386	5.000
MADD-2	MADD	1841.333	-0.002	0.321	-0.006	0.136	5.000
FOXP3-4	FOXP3	1840.333	0.023	0.321	0.070	0.242	5.000
QPRT-2	QPRT	1839.667	-0.103	0.321	-0.321	0.352	5.000
HSBP1-5	HSBP1	1839.667	0.162	0.321	0.506	0.332	5.000
RIT1-3	RIT1	1839.333	0.065	0.321	0.204	0.290	5.000
B3GALNT1-2	B3GALNT1	1838.667	0.069	0.321	0.215	0.284	5.000
MEF2D-3	MEF2D	1838.667	0.202	0.321	0.629	0.349	5.000
MKL2-2	MKL2	1838.667	0.115	0.321	0.359	0.090	5.000
chr8_9	chr8_9	1838.667	0.106	0.321	0.331	0.000	1.000
FAM78A-1	FAM78A	1838.333	-0.035	0.321	-0.110	0.269	5.000
ACE2-3	ACE2	1836.667	0.103	0.321	0.320	0.292	5.000
C7orf69-4	C7orf69	1835.667	0.021	0.321	0.064	0.275	5.000
BCOR-3	BCOR	1835.333	-0.153	0.321	-0.476	0.224	5.000
MYRIP-1	MYRIP	1831.667	0.036	0.321	0.112	0.244	5.000
VNN2-2	VNN2	1831.333	0.096	0.321	0.300	0.399	5.000
GABRA2-4	GABRA2	1828.667	-0.170	0.321	-0.530	0.439	5.000
CKM-3	CKM	1828.333	0.166	0.321	0.518	0.338	5.000
chr21_6	chr21_6	1828.000	0.213	0.321	0.663	0.000	1.000
ELN-4	ELN	1828.000	-0.028	0.321	-0.086	0.197	5.000
DUOX2-1	DUOX2	1828.000	0.096	0.321	0.299	0.153	5.000
LIPG-1	LIPG	1828.000	0.042	0.321	0.131	0.178	5.000
IRF2BPL-1	IRF2BPL	1828.000	-0.307	0.321	-0.958	0.426	5.000
KDM3A-3	KDM3A	1826.333	-0.185	0.321	-0.578	0.362	5.000
FCN2-4	FCN2	1824.667	0.176	0.321	0.550	0.459	5.000
CPLX2-1	CPLX2	1824.000	0.025	0.321	0.077	0.353	5.000
PRRT3-1	PRRT3	1823.667	0.178	0.321	0.554	0.449	5.000
BCL6-5	BCL6	1823.000	-0.026	0.321	-0.080	0.468	5.000
CDRT4-3	CDRT4	1822.333	-0.013	0.321	-0.040	0.173	5.000
RAPH1-1	RAPH1	1821.667	-0.255	0.321	-0.796	0.260	5.000
MEF2D-1	MEF2D	1821.333	0.337	0.321	1.052	0.349	5.000
VWA5B1-3	VWA5B1	1820.667	-0.007	0.321	-0.023	0.560	5.000
ASPG-2	ASPG	1820.000	-0.327	0.321	-1.020	0.388	5.000
KIAA0825-5	KIAA0825	1818.333	-0.041	0.321	-0.128	0.217	5.000
PEX10-2	PEX10	1817.000	-0.842	0.321	-2.626	0.209	5.000
COL4A6-3	COL4A6	1816.333	0.167	0.321	0.521	0.138	5.000
chr14_5	chr14_5	1815.333	-0.037	0.321	-0.114	0.000	1.000
ATP5L-2	ATP5L	1814.333	-0.790	0.321	-2.464	0.745	5.000
RPL30-3	RPL30	1814.333	-2.299	0.332	-6.917	2.332	5.000
LTN1-2	LTN1	1813.000	-0.161	0.332	-0.485	0.575	5.000
PLEKHA4-3	PLEKHA4	1813.000	-0.122	0.332	-0.367	0.133	5.000
ZCCHC10-2	ZCCHC10	1810.333	-0.001	0.332	-0.002	0.386	5.000
SFMBT1-4	SFMBT1	1810.000	0.114	0.332	0.344	0.177	5.000
MROH2B-2	MROH2B	1809.000	-0.083	0.332	-0.251	0.303	5.000
C3orf67-1	C3orf67	1808.333	0.162	0.332	0.489	0.072	5.000
PLCL1-3	PLCL1	1808.000	0.031	0.332	0.094	0.219	5.000
GRID2IP-1	GRID2IP	1808.000	-0.018	0.332	-0.055	0.349	5.000
TNNT1-4	TNNT1	1806.333	-0.221	0.332	-0.664	0.387	5.000
NT5C3B-3	NT5C3B	1806.333	0.056	0.332	0.169	0.478	5.000
GABRB1-5	GABRB1	1806.000	-0.085	0.332	-0.256	0.116	5.000
OR52E6-4	OR52E6	1806.000	0.228	0.332	0.685	0.267	5.000
RXFP4-2	RXFP4	1804.000	0.031	0.332	0.094	0.346	5.000
PMS1-2	PMS1	1803.333	0.141	0.332	0.423	0.215	5.000
DEFB116-1	DEFB116	1803.000	-0.291	0.332	-0.875	0.303	5.000
VIPR2-2	VIPR2	1802.667	-0.048	0.332	-0.143	0.176	5.000
HPN-5	HPN	1802.333	0.019	0.332	0.057	0.473	5.000
ZNF485-3	ZNF485	1801.333	-0.012	0.332	-0.035	0.558	5.000
RPS7-5	RPS7	1801.000	0.154	0.332	0.462	0.783	5.000
PFKL-2	PFKL	1800.000	0.149	0.332	0.450	0.300	5.000
ZSWIM3-3	ZSWIM3	1799.667	-0.074	0.332	-0.224	0.138	5.000
chr2_5	chr2_5	1798.667	-0.036	0.332	-0.107	0.000	1.000
COPS8-3	COPS8	1798.667	0.032	0.332	0.097	1.295	5.000
SLC50A1-2	SLC50A1	1796.333	0.098	0.332	0.296	0.160	5.000
CCDC69-4	CCDC69	1796.000	-0.148	0.337	-0.440	0.178	5.000
chr3_10	chr3_10	1796.000	0.065	0.337	0.193	0.000	1.000
TPO-3	TPO	1795.667	0.014	0.337	0.043	0.208	5.000
chr5_7	chr5_7	1795.667	0.102	0.337	0.304	0.000	1.000
NCK2-1	NCK2	1794.667	0.040	0.337	0.118	0.083	5.000
TYMSOS-5	TYMSOS	1794.333	0.098	0.337	0.291	0.263	5.000
TTLL2-1	TTLL2	1793.667	0.150	0.337	0.445	0.215	5.000
GGA2-2	GGA2	1793.000	0.075	0.337	0.221	0.253	5.000
SLC50A1-4	SLC50A1	1792.000	0.130	0.337	0.386	0.160	5.000
RPS9-1	RPS9	1791.333	0.068	0.337	0.203	1.218	5.000
MGAT3-3	MGAT3	1791.000	0.167	0.337	0.494	0.231	5.000
SLC38A4-2	SLC38A4	1790.667	-0.018	0.337	-0.053	0.298	5.000
chr15_1	chr15_1	1790.000	0.020	0.337	0.058	0.000	1.000
OR52E6-5	OR52E6	1790.000	0.057	0.337	0.168	0.267	5.000
IL15RA-1	IL15RA	1789.333	-0.032	0.337	-0.094	0.304	5.000
EIF2AK1-1	EIF2AK1	1788.333	0.047	0.337	0.140	0.374	5.000
ELK1-5	ELK1	1788.333	-0.143	0.337	-0.425	0.932	5.000
UNKL-3	UNKL	1787.667	0.073	0.337	0.216	0.171	5.000
SLC51B-4	SLC51B	1787.000	0.136	0.337	0.404	0.175	5.000
RPL27-3	RPL27	1786.667	-0.121	0.337	-0.358	1.342	5.000
ARID3A-5	ARID3A	1786.000	0.074	0.337	0.218	0.386	5.000
chr9_7	chr9_7	1785.667	-0.177	0.337	-0.524	0.000	1.000
NEU4-5	NEU4	1785.667	0.182	0.337	0.539	0.261	5.000
NELL1-5	NELL1	1785.667	-0.122	0.337	-0.362	0.301	5.000
SHF-3	SHF	1785.333	0.153	0.337	0.453	0.306	5.000
chr4_10	chr4_10	1784.667	0.022	0.338	0.064	0.000	1.000
BMP3-1	BMP3	1784.667	-0.049	0.338	-0.145	0.172	5.000
chr3_5	chr3_5	1784.333	0.142	0.338	0.421	0.000	1.000
GTF3C2-5	GTF3C2	1784.333	-0.029	0.338	-0.086	0.703	5.000
DMC1-3	DMC1	1783.667	0.098	0.338	0.290	0.344	5.000
PLA2G2A-1	PLA2G2A	1783.667	-0.036	0.338	-0.106	0.239	5.000
MORN4-1	MORN4	1782.667	0.010	0.338	0.029	0.158	5.000
HEXA-3	HEXA	1781.333	0.101	0.338	0.299	0.241	5.000
MYOT-2	MYOT	1781.000	0.043	0.338	0.127	0.232	5.000
WIPF1-1	WIPF1	1780.000	-0.028	0.338	-0.081	0.134	5.000
DIDO1-5	DIDO1	1777.667	-1.118	0.338	-3.308	0.921	5.000
CDKN1A-2	CDKN1A	1777.000	0.401	0.338	1.186	0.464	5.000
AADAT-1	AADAT	1776.000	-0.068	0.338	-0.200	0.173	5.000
IGSF22-4	IGSF22	1775.667	0.270	0.338	0.798	0.423	5.000
ACE2-4	ACE2	1774.667	0.079	0.338	0.233	0.292	5.000
WNK2-2	WNK2	1774.333	-0.074	0.338	-0.218	0.301	5.000
DTHD1-3	DTHD1	1774.000	-0.171	0.338	-0.505	0.229	5.000
FAM71E1-2	FAM71E1	1773.667	0.148	0.338	0.438	0.341	5.000
COL4A6-5	COL4A6	1773.667	0.150	0.338	0.444	0.138	5.000
KRTAP12-4-3	KRTAP12-4	1773.667	-0.016	0.338	-0.048	0.351	5.000
NEU4-4	NEU4	1773.333	0.166	0.338	0.491	0.261	5.000
RBPJL-4	RBPJL	1773.333	0.085	0.338	0.251	0.407	5.000
NEUROD2-3	NEUROD2	1770.667	-0.201	0.338	-0.595	0.520	5.000
EVC-3	EVC	1770.333	0.199	0.338	0.588	0.358	5.000
RHOG-5	RHOG	1770.333	-0.375	0.338	-1.109	0.220	5.000
LFNG-1	LFNG	1770.333	0.178	0.338	0.527	0.294	5.000
TRIM7-3	TRIM7	1770.000	0.293	0.338	0.866	0.332	5.000
MROH2B-3	MROH2B	1769.333	-0.208	0.338	-0.615	0.303	5.000
PPP1R3D-3	PPP1R3D	1767.667	-0.059	0.338	-0.175	0.179	5.000
FEN1-4	FEN1	1765.667	-2.658	0.338	-7.857	3.414	5.000
EPN3-3	EPN3	1764.667	-0.216	0.338	-0.638	0.248	5.000
ARFGAP3-2	ARFGAP3	1764.667	0.083	0.338	0.246	0.341	5.000
OSR1-2	OSR1	1764.000	-0.229	0.338	-0.678	0.252	5.000
SLAMF1-5	SLAMF1	1763.667	0.131	0.338	0.387	0.136	5.000
RXFP4-5	RXFP4	1763.333	0.087	0.338	0.256	0.346	5.000
HYPM-1	HYPM	1762.000	0.030	0.338	0.088	0.279	5.000
RGMA-5	RGMA	1760.667	0.084	0.338	0.248	0.149	5.000
ELP4-1	ELP4	1758.667	-0.437	0.338	-1.293	0.457	5.000
NFKBID-3	NFKBID	1758.333	0.055	0.338	0.163	0.480	5.000
chr12_1	chr12_1	1758.333	0.022	0.338	0.065	0.000	1.000
FGF20-3	FGF20	1757.000	-0.025	0.338	-0.075	0.260	5.000
KCNN2-1	KCNN2	1756.667	0.049	0.338	0.145	0.241	5.000
MDM2-3	MDM2	1756.333	0.258	0.338	0.764	0.383	5.000
GRP-4	GRP	1755.667	-0.047	0.338	-0.140	0.421	5.000
KCNK5-5	KCNK5	1755.667	-0.693	0.338	-2.048	0.475	5.000
KLLN-5	KLLN	1753.333	0.079	0.338	0.235	0.239	5.000
GBP2-3	GBP2	1752.333	-0.089	0.338	-0.264	0.303	5.000
KRT23-3	KRT23	1752.333	0.608	0.338	1.798	0.766	5.000
ZNF692-3	ZNF692	1751.333	-0.057	0.338	-0.169	0.396	5.000
OR6N2-3	OR6N2	1750.000	-0.162	0.338	-0.478	0.319	5.000
TFCP2L1-4	TFCP2L1	1749.667	-0.126	0.340	-0.370	0.263	5.000
PCMT1-3	PCMT1	1749.333	0.010	0.340	0.031	0.469	5.000
MKL2-1	MKL2	1747.333	0.044	0.340	0.130	0.090	5.000
GGA3-3	GGA3	1746.667	0.020	0.340	0.060	0.258	5.000
CAMK1D-5	CAMK1D	1746.333	0.147	0.340	0.431	0.276	5.000
XPA-2	XPA	1745.333	-0.082	0.340	-0.240	0.380	5.000
C7orf69-3	C7orf69	1744.667	0.006	0.340	0.019	0.275	5.000
C5-4	C5	1744.333	-0.135	0.340	-0.397	0.169	5.000
HEXA-1	HEXA	1744.333	0.026	0.340	0.076	0.241	5.000
COL4A6-2	COL4A6	1744.333	0.250	0.340	0.734	0.138	5.000
POLH-1	POLH	1743.000	0.059	0.340	0.172	0.140	5.000
MYOT-3	MYOT	1742.667	-0.089	0.340	-0.261	0.232	5.000
CYB5D1-5	CYB5D1	1742.333	-0.231	0.340	-0.678	0.305	5.000
HPGD-3	HPGD	1742.000	0.189	0.340	0.555	0.395	5.000
chr14_3	chr14_3	1740.667	-0.035	0.340	-0.102	0.000	1.000
chr7_6	chr7_6	1740.333	0.119	0.340	0.350	0.000	1.000
TRIM36-4	TRIM36	1739.333	0.055	0.340	0.162	0.382	5.000
PCTP-1	PCTP	1739.333	0.190	0.340	0.559	0.227	5.000
FABP1-2	FABP1	1738.667	-0.118	0.340	-0.346	0.269	5.000
HDHD3-5	HDHD3	1738.333	-0.122	0.340	-0.360	0.479	5.000
CST1-4	CST1	1737.333	0.009	0.340	0.025	0.313	5.000
SRPK3-4	SRPK3	1737.333	0.104	0.340	0.305	0.148	5.000
ZFHX2-2	ZFHX2	1737.000	0.041	0.340	0.119	0.323	5.000
chr15_3	chr15_3	1736.000	0.072	0.340	0.212	0.000	1.000
NR0B2-3	NR0B2	1735.333	-0.048	0.340	-0.141	0.341	5.000
ZSCAN31-3	ZSCAN31	1735.000	-0.070	0.342	-0.204	0.271	5.000
HYDIN-3	HYDIN	1735.000	-0.054	0.342	-0.158	0.219	5.000
ADH4-4	ADH4	1733.333	-0.014	0.342	-0.041	0.257	5.000
CHST4-3	CHST4	1733.333	-0.205	0.342	-0.600	0.187	5.000
SMIM18-2	SMIM18	1733.333	-0.054	0.342	-0.159	0.143	5.000
TMEM38B-2	TMEM38B	1733.333	-0.377	0.342	-1.104	0.279	5.000
CEACAM20-3	CEACAM20	1733.000	-0.008	0.342	-0.024	0.387	5.000
STX16-4	STX16	1733.000	-0.051	0.342	-0.150	0.300	5.000
chr9_9	chr9_9	1732.667	0.258	0.342	0.755	0.000	1.000
TRIM36-1	TRIM36	1732.667	-0.029	0.342	-0.085	0.382	5.000
CEACAM5-1	CEACAM5	1732.333	0.153	0.342	0.448	0.302	5.000
NUP98-4	NUP98	1732.000	-0.188	0.342	-0.551	0.504	5.000
CRHR2-3	CRHR2	1731.667	-0.103	0.342	-0.302	0.083	5.000
RPL27-5	RPL27	1731.333	-0.871	0.342	-2.548	1.342	5.000
HIST4H4-1	HIST4H4	1731.333	0.110	0.342	0.321	0.665	5.000
OR2A14-4	OR2A14	1731.333	-0.091	0.342	-0.266	0.271	5.000
chr2_10	chr2_10	1731.000	-0.033	0.342	-0.095	0.000	1.000
PEX10-5	PEX10	1730.667	-0.975	0.342	-2.853	0.209	5.000
RNF220-4	RNF220	1730.667	0.156	0.342	0.457	0.165	5.000
CYB5D1-2	CYB5D1	1730.333	0.034	0.342	0.100	0.305	5.000
MRPS26-2	MRPS26	1730.333	-1.461	0.342	-4.274	1.214	5.000
HEXA-5	HEXA	1730.000	0.095	0.342	0.277	0.241	5.000
TNNT1-3	TNNT1	1730.000	-0.108	0.342	-0.316	0.387	5.000
HYPM-2	HYPM	1729.667	0.039	0.342	0.114	0.279	5.000
C10orf82-2	C10orf82	1729.333	0.002	0.342	0.007	0.230	5.000
MSH3-5	MSH3	1728.667	0.020	0.342	0.059	0.111	5.000
OGFOD1-5	OGFOD1	1728.667	0.357	0.342	1.045	0.355	5.000
CYP24A1-3	CYP24A1	1727.667	0.069	0.342	0.203	0.306	5.000
PRKG1-1	PRKG1	1727.000	0.175	0.342	0.512	0.227	5.000
IL2RG-4	IL2RG	1726.667	-0.263	0.342	-0.770	0.593	5.000
FOXP3-2	FOXP3	1726.000	0.226	0.342	0.661	0.242	5.000
RNF43-2	RNF43	1725.333	0.215	0.342	0.629	0.289	5.000
chr11_3	chr11_3	1725.000	-0.171	0.342	-0.500	0.000	1.000
PCGF1-3	PCGF1	1724.667	-0.130	0.342	-0.382	0.221	5.000
HOXD13-2	HOXD13	1724.667	-0.041	0.342	-0.121	0.181	5.000
OR2T33-1	OR2T33	1724.667	-0.088	0.342	-0.257	0.401	5.000
CEMP1-4	CEMP1	1723.667	-0.198	0.342	-0.579	0.423	5.000
CYP4F8-3	CYP4F8	1723.000	0.067	0.342	0.195	0.241	5.000
TBC1D9-1	TBC1D9	1723.000	0.038	0.342	0.112	0.152	5.000
TBX10-5	TBX10	1722.333	0.129	0.342	0.376	0.409	5.000
CEACAM5-2	CEACAM5	1719.333	0.011	0.342	0.031	0.302	5.000
SHF-1	SHF	1718.667	0.170	0.342	0.497	0.306	5.000
CCR1-1	CCR1	1717.000	-0.013	0.342	-0.037	0.125	5.000
KIAA1671-4	KIAA1671	1717.000	-0.138	0.342	-0.404	0.344	5.000
FANCA-3	FANCA	1716.667	-1.189	0.342	-3.477	0.625	5.000
chr1_10	chr1_10	1716.333	0.132	0.342	0.385	0.000	1.000
QKI-3	QKI	1716.333	0.359	0.342	1.050	0.287	5.000
RSPH14-5	RSPH14	1716.333	-0.043	0.342	-0.126	0.080	5.000
RAPH1-2	RAPH1	1715.333	-0.009	0.342	-0.027	0.260	5.000
CNTNAP4-2	CNTNAP4	1715.000	-0.258	0.342	-0.755	0.328	5.000
chr2_3	chr2_3	1714.667	0.085	0.342	0.250	0.000	1.000
ERCC1-5	ERCC1	1714.333	-1.042	0.342	-3.047	3.833	5.000
CHST4-2	CHST4	1713.667	-0.025	0.342	-0.072	0.187	5.000
MADD-1	MADD	1713.667	0.021	0.342	0.062	0.136	5.000
PCDHA1-2	PCDHA1	1713.000	-0.139	0.342	-0.408	0.107	5.000
PML-5	PML	1713.000	-0.222	0.342	-0.649	0.517	5.000
TH-2	TH	1712.667	-0.066	0.342	-0.194	0.166	5.000
ASPRV1-5	ASPRV1	1711.667	0.082	0.342	0.240	0.299	5.000
MLXIPL-4	MLXIPL	1711.667	-0.163	0.342	-0.477	0.240	5.000
EPDR1-2	EPDR1	1710.667	0.065	0.342	0.189	0.164	5.000
IGSF22-2	IGSF22	1709.667	-0.105	0.342	-0.306	0.423	5.000
chr5_8	chr5_8	1709.333	0.102	0.342	0.297	0.000	1.000
NKPD1-3	NKPD1	1708.333	-0.016	0.342	-0.046	0.096	5.000
TRPM5-5	TRPM5	1708.000	-0.051	0.342	-0.150	0.235	5.000
chr6_9	chr6_9	1707.333	0.180	0.342	0.527	0.000	1.000
SPZ1-3	SPZ1	1707.000	0.164	0.342	0.479	0.223	5.000
GRHL1-3	GRHL1	1707.000	0.159	0.342	0.465	0.496	5.000
SCCPDH-3	SCCPDH	1706.667	0.083	0.342	0.241	0.114	5.000
NEUROD2-5	NEUROD2	1706.667	-0.082	0.342	-0.240	0.520	5.000
SOCS7-5	SOCS7	1706.000	0.096	0.342	0.280	0.484	5.000
ZKSCAN8-1	ZKSCAN8	1706.000	0.497	0.342	1.454	1.425	5.000
RPA1-5	RPA1	1705.667	-1.132	0.342	-3.310	1.175	5.000
ZNF665-4	ZNF665	1705.333	-0.026	0.342	-0.076	0.439	5.000
SCCPDH-1	SCCPDH	1705.333	-0.018	0.342	-0.054	0.114	5.000
PMS1-5	PMS1	1705.000	0.133	0.342	0.390	0.215	5.000
ERCC1-4	ERCC1	1704.667	-3.500	0.342	-10.234	3.833	5.000
CCDC69-2	CCDC69	1702.667	-0.137	0.342	-0.399	0.178	5.000
ZBTB18-5	ZBTB18	1702.667	0.180	0.342	0.527	0.315	5.000
chr9_6	chr9_6	1701.000	0.234	0.342	0.684	0.000	1.000
ETV3L-2	ETV3L	1700.667	0.192	0.342	0.561	0.381	5.000
OR51F2-1	OR51F2	1700.667	0.105	0.342	0.308	0.286	5.000
HLA-DOB-4	HLA-DOB	1700.333	0.123	0.342	0.361	0.178	5.000
TBC1D9-3	TBC1D9	1700.000	0.045	0.342	0.132	0.152	5.000
ADAM9-4	ADAM9	1700.000	-0.031	0.342	-0.090	0.338	5.000
FANCG-3	FANCG	1699.667	-1.493	0.342	-4.366	1.983	5.000
CLDN7-4	CLDN7	1699.333	0.160	0.342	0.468	0.392	5.000
NFKBID-1	NFKBID	1698.333	0.047	0.342	0.137	0.480	5.000
SPTBN1-3	SPTBN1	1698.000	0.146	0.342	0.427	0.504	5.000
FAM109A-3	FAM109A	1696.333	-0.078	0.342	-0.227	0.281	5.000
COPB1-4	COPB1	1695.333	-0.170	0.342	-0.496	0.310	5.000
TRABD-4	TRABD	1695.333	-0.031	0.342	-0.090	0.235	5.000
PCDHA1-5	PCDHA1	1694.333	-0.103	0.342	-0.301	0.107	5.000
LMOD3-5	LMOD3	1694.000	0.194	0.342	0.567	0.190	5.000
LGR5-3	LGR5	1692.000	0.007	0.342	0.020	0.301	5.000
chr7_3	chr7_3	1691.667	-0.030	0.342	-0.089	0.000	1.000
TGFBR2-3	TGFBR2	1691.000	0.064	0.342	0.188	0.106	5.000
ASPG-5	ASPG	1690.333	-0.306	0.342	-0.894	0.388	5.000
SRPK3-5	SRPK3	1689.667	0.019	0.342	0.057	0.148	5.000
SHROOM2-4	SHROOM2	1689.667	0.309	0.342	0.905	0.314	5.000
HSFY1-1	HSFY1	1689.333	0.023	0.342	0.068	0.221	5.000
DRD2-1	DRD2	1688.333	-0.050	0.356	-0.140	0.245	5.000
CLEC14A-4	CLEC14A	1687.667	0.171	0.356	0.480	0.276	5.000
MOGAT1-5	MOGAT1	1687.667	0.062	0.356	0.175	0.327	5.000
LCE6A-2	LCE6A	1687.333	0.110	0.356	0.308	0.448	5.000
FAM71E1-1	FAM71E1	1687.333	0.125	0.356	0.352	0.341	5.000
MAML1-4	MAML1	1687.000	0.380	0.356	1.068	0.452	5.000
CCDC69-1	CCDC69	1687.000	-0.111	0.356	-0.312	0.178	5.000
SLC13A2-3	SLC13A2	1686.667	-0.013	0.356	-0.036	0.518	5.000
MPP3-4	MPP3	1686.000	-0.111	0.356	-0.311	0.135	5.000
RHOG-4	RHOG	1685.667	-0.202	0.356	-0.567	0.220	5.000
AGR2-3	AGR2	1685.333	-0.046	0.356	-0.128	0.227	5.000
HEG1-5	HEG1	1685.333	0.152	0.356	0.426	0.382	5.000
CANT1-1	CANT1	1685.000	0.027	0.356	0.077	1.389	5.000
ZMYM5-5	ZMYM5	1685.000	-0.108	0.356	-0.302	0.247	5.000
MYRIP-5	MYRIP	1684.000	-0.095	0.356	-0.266	0.244	5.000
MYRIP-4	MYRIP	1683.667	0.162	0.356	0.454	0.244	5.000
ALDH1A3-5	ALDH1A3	1683.333	-0.046	0.356	-0.130	0.182	5.000
HIST3H2BB-1	HIST3H2BB	1683.000	0.013	0.356	0.038	0.719	5.000
CRISPLD2-4	CRISPLD2	1683.000	0.044	0.356	0.125	0.330	5.000
AXIN2-3	AXIN2	1681.667	-0.077	0.356	-0.215	0.426	5.000
chr9_1	chr9_1	1681.667	0.158	0.356	0.443	0.000	1.000
ELF5-5	ELF5	1681.333	-0.064	0.356	-0.179	0.227	5.000
HPGD-1	HPGD	1681.333	-0.163	0.356	-0.457	0.395	5.000
FAM71E1-3	FAM71E1	1681.000	-0.139	0.356	-0.391	0.341	5.000
ACE2-1	ACE2	1680.667	-0.058	0.356	-0.164	0.292	5.000
SPTBN1-1	SPTBN1	1680.667	0.015	0.356	0.042	0.504	5.000
FANCA-1	FANCA	1679.333	-1.121	0.356	-3.148	0.625	5.000
HYDIN-2	HYDIN	1678.667	0.046	0.356	0.130	0.219	5.000
CDCA7L-2	CDCA7L	1678.333	-0.089	0.356	-0.249	0.224	5.000
FOXRED2-5	FOXRED2	1677.667	-0.057	0.356	-0.160	0.168	5.000
BMP7-5	BMP7	1677.333	0.061	0.356	0.172	0.128	5.000
ZNF223-5	ZNF223	1677.000	0.112	0.356	0.315	0.224	5.000
PILRA-2	PILRA	1675.667	-0.238	0.356	-0.669	0.386	5.000
AGR2-4	AGR2	1675.667	-0.127	0.356	-0.357	0.227	5.000
FANCG-2	FANCG	1675.000	-0.011	0.356	-0.031	1.983	5.000
BCL2L10-3	BCL2L10	1675.000	0.129	0.356	0.363	0.086	5.000
CAMK1D-3	CAMK1D	1674.000	0.022	0.356	0.062	0.276	5.000
CDHR5-2	CDHR5	1673.667	-0.190	0.356	-0.534	0.294	5.000
TTC7A-1	TTC7A	1673.667	0.027	0.356	0.075	0.295	5.000
DENND6A-4	DENND6A	1673.333	0.147	0.356	0.412	0.035	4.000
LYPD8-1	LYPD8	1673.000	0.330	0.356	0.926	0.416	5.000
LIMA1-4	LIMA1	1673.000	0.168	0.356	0.472	0.315	5.000
SWT1-5	SWT1	1672.667	0.325	0.356	0.914	0.331	5.000
chr1_1	chr1_1	1672.667	0.192	0.356	0.540	0.000	1.000
C21orf62-2	C21orf62	1672.333	0.008	0.356	0.023	0.184	5.000
chr16_5	chr16_5	1672.000	-0.021	0.356	-0.059	0.000	1.000
HPRT1-5	HPRT1	1671.667	0.080	0.356	0.226	0.323	5.000
CPT2-5	CPT2	1671.667	-0.042	0.356	-0.117	0.129	5.000
CEMP1-1	CEMP1	1671.000	0.224	0.356	0.628	0.423	5.000
C3orf67-3	C3orf67	1670.667	0.177	0.356	0.499	0.072	5.000
ALS2CL-2	ALS2CL	1670.667	0.224	0.359	0.625	0.175	5.000
TMEM38B-1	TMEM38B	1670.333	-0.252	0.359	-0.702	0.279	5.000
IL15RA-3	IL15RA	1669.000	-0.029	0.359	-0.082	0.304	5.000
PABPC1L-5	PABPC1L	1668.667	0.054	0.359	0.150	0.636	5.000
IFT27-4	IFT27	1668.667	0.113	0.359	0.315	0.404	5.000
MRAP2-2	MRAP2	1668.667	0.260	0.359	0.726	0.333	5.000
POLI-4	POLI	1668.667	0.105	0.359	0.294	0.122	5.000
C11orf42-3	C11orf42	1666.667	0.116	0.359	0.324	0.258	5.000
HIST1H2BD-1	HIST1H2BD	1666.333	0.101	0.359	0.282	1.133	5.000
DEFB116-3	DEFB116	1664.667	-0.005	0.359	-0.015	0.303	5.000
ACSL6-3	ACSL6	1664.667	-0.091	0.359	-0.255	0.371	5.000
GRP-3	GRP	1664.667	0.387	0.359	1.079	0.421	5.000
ADH4-2	ADH4	1663.667	-0.039	0.359	-0.109	0.257	5.000
chr2_11	chr2_11	1663.667	-0.067	0.359	-0.188	0.000	1.000
SDCCAG3-2	SDCCAG3	1663.667	-0.186	0.359	-0.520	0.140	5.000
IQSEC3-2	IQSEC3	1663.667	-0.067	0.359	-0.186	0.114	5.000
chr19_11	chr19_11	1663.333	-0.010	0.359	-0.028	0.000	1.000
MSH6-3	MSH6	1663.000	-0.073	0.359	-0.204	0.190	5.000
EVC-4	EVC	1663.000	-0.107	0.359	-0.297	0.358	5.000
chr19_2	chr19_2	1662.333	0.088	0.359	0.245	0.000	1.000
CYP24A1-1	CYP24A1	1662.000	-0.021	0.359	-0.058	0.306	5.000
COL14A1-3	COL14A1	1662.000	0.133	0.359	0.370	0.188	5.000
WNK2-3	WNK2	1661.000	0.030	0.359	0.085	0.301	5.000
ATF6B-5	ATF6B	1661.000	0.051	0.359	0.143	0.124	5.000
ROCK2-1	ROCK2	1660.667	-0.355	0.359	-0.989	0.444	5.000
CNTNAP4-3	CNTNAP4	1660.667	-0.087	0.360	-0.242	0.328	5.000
HYDIN-4	HYDIN	1660.000	-0.033	0.360	-0.093	0.219	5.000
HLA-DMA-2	HLA-DMA	1659.667	-0.018	0.360	-0.051	0.251	5.000
PRRC2A-3	PRRC2A	1659.333	0.524	0.360	1.457	0.706	5.000
FEN1-3	FEN1	1659.000	-3.273	0.360	-9.103	3.414	5.000
NCOA1-1	NCOA1	1659.000	0.177	0.360	0.491	0.413	5.000
ZFAND2A-2	ZFAND2A	1653.000	-0.094	0.360	-0.262	0.446	5.000
MRAP2-1	MRAP2	1653.000	-0.080	0.360	-0.222	0.333	5.000
FGF20-2	FGF20	1652.667	0.181	0.360	0.504	0.260	5.000
INVS-3	INVS	1652.000	-0.103	0.360	-0.287	0.160	5.000
