	GENE	ctrl_mean_reads	mean_fc	eb_std	zscore	std sgRNAs/gene	numObs
RPL36-1	RPL36	1719.667	-1.882	0.707	-2.662	1.477	5.000
ZMYM5-3	ZMYM5	1718.667	0.316	0.707	0.446	0.118	5.000
RNF216-1	RNF216	1717.667	0.216	0.707	0.305	0.092	5.000
chr7_7	chr7_7	1717.667	0.203	0.707	0.287	0.000	1.000
BLCAP-2	BLCAP	1716.333	0.134	0.707	0.189	0.240	5.000
HYDIN-4	HYDIN	1716.333	-0.048	0.707	-0.068	0.359	5.000
ZSWIM3-3	ZSWIM3	1716.000	0.069	0.707	0.097	0.047	5.000
RNF220-3	RNF220	1715.000	0.141	0.707	0.199	0.127	5.000
MYRIP-1	MYRIP	1713.000	0.097	0.707	0.136	0.184	5.000
FANCA-1	FANCA	1712.667	-0.028	0.707	-0.040	1.114	5.000
MOGAT2-1	MOGAT2	1712.667	0.204	0.707	0.288	0.138	5.000
MSANTD4-2	MSANTD4	1711.667	0.116	0.707	0.164	0.562	5.000
chr7_5	chr7_5	1710.667	0.262	0.707	0.371	0.000	1.000
PRRT3-1	PRRT3	1710.333	0.092	0.707	0.131	0.249	5.000
MKL2-2	MKL2	1710.000	0.105	0.707	0.148	0.074	5.000
PPP1R3D-3	PPP1R3D	1709.667	0.048	0.707	0.068	0.120	5.000
OR51F2-5	OR51F2	1709.333	0.215	0.707	0.304	0.157	5.000
CYB5D1-3	CYB5D1	1709.000	0.269	0.707	0.380	0.218	5.000
CEND1-4	CEND1	1708.667	-0.102	0.707	-0.144	0.834	5.000
PABPC1L-4	PABPC1L	1708.667	-0.269	0.707	-0.381	0.314	5.000
GPR87-5	GPR87	1708.333	0.116	0.707	0.164	0.173	5.000
NKPD1-3	NKPD1	1708.000	0.000	0.707	0.000	0.115	5.000
RSPH14-3	RSPH14	1708.000	0.156	0.707	0.221	0.041	5.000
PRR15-3	PRR15	1706.667	0.120	0.707	0.170	0.076	5.000
MSH4-3	MSH4	1706.000	-0.273	0.707	-0.386	0.238	5.000
SFMBT1-4	SFMBT1	1705.000	0.086	0.707	0.122	0.106	5.000
LIPG-3	LIPG	1704.333	0.190	0.707	0.268	0.136	5.000
COL4A6-4	COL4A6	1704.000	0.292	0.707	0.413	0.048	5.000
USP18-1	USP18	1703.333	-0.469	0.707	-0.663	0.255	5.000
PML-5	PML	1703.333	0.008	0.707	0.012	0.149	5.000
UBE2QL1-5	UBE2QL1	1703.333	0.155	0.707	0.219	0.067	5.000
UBE2QL1-4	UBE2QL1	1703.000	0.184	0.707	0.260	0.067	5.000
BMP7-4	BMP7	1703.000	0.231	0.707	0.326	0.113	5.000
OR51F2-2	OR51F2	1702.667	0.281	0.707	0.397	0.157	5.000
DNAJB5-3	DNAJB5	1701.667	-0.241	0.707	-0.340	0.162	5.000
ZMYM5-2	ZMYM5	1701.333	0.130	0.707	0.184	0.118	5.000
C5-4	C5	1701.000	0.036	0.707	0.051	0.119	5.000
POTEH-1	POTEH	1700.667	-0.849	0.707	-1.200	0.640	5.000
FCN2-4	FCN2	1700.667	0.101	0.707	0.143	0.098	5.000
RPA3-1	RPA3	1699.667	-2.413	0.707	-3.413	1.619	5.000
HEXA-2	HEXA	1699.667	0.179	0.707	0.253	0.106	5.000
FTSJ3-2	FTSJ3	1699.333	-1.984	0.707	-2.806	0.943	5.000
POLA1-3	POLA1	1699.000	-1.869	0.707	-2.643	1.405	5.000
KIF20B-2	KIF20B	1699.000	0.222	0.707	0.314	0.154	5.000
REEP1-3	REEP1	1698.000	0.179	0.707	0.253	0.265	5.000
FEN1-4	FEN1	1697.667	0.057	0.707	0.080	0.189	5.000
GNG4-2	GNG4	1697.667	0.163	0.707	0.230	0.045	5.000
NKPD1-2	NKPD1	1696.667	0.184	0.707	0.260	0.115	5.000
ARFRP1-4	ARFRP1	1696.000	-1.012	0.707	-1.432	0.582	5.000
NEUROD2-2	NEUROD2	1695.667	-0.044	0.707	-0.062	0.157	5.000
GTPBP10-1	GTPBP10	1695.333	-0.119	0.707	-0.168	0.192	5.000
MRPS26-3	MRPS26	1695.000	-0.260	0.707	-0.368	0.157	5.000
UBE2QL1-1	UBE2QL1	1694.667	0.291	0.707	0.412	0.067	5.000
TNNT1-4	TNNT1	1693.667	0.093	0.707	0.131	0.143	5.000
CYP4F8-3	CYP4F8	1693.333	0.025	0.707	0.035	0.074	5.000
chr8_6	chr8_6	1692.667	0.313	0.707	0.443	0.000	1.000
WIPF1-1	WIPF1	1692.333	0.073	0.707	0.103	0.088	5.000
VWA5B1-5	VWA5B1	1692.333	-0.878	0.707	-1.241	0.574	5.000
OGFOD1-5	OGFOD1	1691.333	0.031	0.707	0.044	0.108	5.000
MSH6-2	MSH6	1689.333	-0.060	0.707	-0.085	0.137	5.000
KLLN-5	KLLN	1688.667	0.054	0.707	0.077	0.117	5.000
MUS81-3	MUS81	1688.667	-0.064	0.707	-0.091	0.200	5.000
AKAP2-5	AKAP2	1688.333	-0.082	0.707	-0.116	0.135	5.000
RPS27-4	RPS27	1688.333	-0.593	0.707	-0.839	1.020	5.000
DHX36-4	DHX36	1688.000	-0.833	0.707	-1.179	0.508	5.000
FAHD2B-4	FAHD2B	1688.000	-0.169	0.707	-0.238	0.511	5.000
TMEM198-1	TMEM198	1687.667	-0.164	0.707	-0.233	0.295	5.000
chr7_6	chr7_6	1687.667	0.044	0.707	0.063	0.000	1.000
SLC51B-4	SLC51B	1687.000	0.083	0.707	0.117	0.121	5.000
HNRNPL-4	HNRNPL	1686.000	-1.538	0.707	-2.175	0.749	5.000
C15orf40-3	C15orf40	1686.000	0.268	0.707	0.379	0.198	5.000
PCDHA1-2	PCDHA1	1685.667	0.023	0.707	0.033	0.135	5.000
THPO-3	THPO	1684.667	0.181	0.707	0.256	0.141	5.000
TRIM36-3	TRIM36	1684.333	0.376	0.707	0.532	0.122	5.000
GPR143-4	GPR143	1683.667	0.429	0.707	0.606	0.135	5.000
CUEDC1-1	CUEDC1	1683.333	0.152	0.707	0.214	0.264	5.000
IHH-2	IHH	1683.000	-0.320	0.707	-0.453	0.275	4.000
OR52E6-2	OR52E6	1682.667	0.171	0.707	0.243	0.142	5.000
IL15RA-3	IL15RA	1682.667	-0.012	0.707	-0.017	0.257	5.000
AGR2-4	AGR2	1682.000	-0.005	0.707	-0.008	0.197	5.000
HMGB3-3	HMGB3	1682.000	-0.219	0.707	-0.309	0.368	5.000
KCNK17-4	KCNK17	1681.333	-0.034	0.707	-0.049	0.639	5.000
FABP1-1	FABP1	1681.333	0.152	0.707	0.215	0.440	5.000
PLEKHA4-3	PLEKHA4	1681.000	0.109	0.707	0.154	0.050	5.000
PCMT1-2	PCMT1	1680.333	0.158	0.707	0.224	0.099	5.000
PEX10-2	PEX10	1680.333	0.113	0.707	0.159	0.111	5.000
RAPH1-2	RAPH1	1680.000	0.030	0.707	0.042	0.141	5.000
CDKN1A-3	CDKN1A	1679.667	0.484	0.707	0.685	0.142	5.000
MKL2-1	MKL2	1678.000	0.058	0.707	0.083	0.074	5.000
TFCP2L1-4	TFCP2L1	1677.667	0.061	0.707	0.086	0.138	5.000
PLA2G2A-3	PLA2G2A	1677.333	0.205	0.707	0.291	0.141	5.000
MYRIP-4	MYRIP	1676.000	0.007	0.707	0.009	0.184	5.000
OR52E6-5	OR52E6	1675.667	0.095	0.707	0.135	0.142	5.000
HSBP1-2	HSBP1	1675.333	0.210	0.707	0.296	0.190	5.000
HIST1H2AE-3	HIST1H2AE	1674.667	0.145	0.707	0.205	0.418	5.000
OR8S1-5	OR8S1	1674.000	-0.045	0.707	-0.064	0.213	5.000
IRF2BPL-5	IRF2BPL	1673.667	0.329	0.707	0.465	0.142	5.000
CEP68-4	CEP68	1673.333	-0.305	0.707	-0.432	0.320	5.000
NKPD1-1	NKPD1	1673.000	0.165	0.707	0.233	0.115	5.000
MORN4-1	MORN4	1672.667	0.092	0.707	0.130	0.219	5.000
TTC7A-1	TTC7A	1671.333	0.002	0.707	0.003	0.120	5.000
PFKL-5	PFKL	1671.000	0.232	0.707	0.328	0.070	5.000
SERINC1-4	SERINC1	1670.333	0.271	0.707	0.383	0.120	5.000
AXIN2-3	AXIN2	1670.333	0.010	0.707	0.014	0.145	5.000
ZCCHC10-2	ZCCHC10	1670.000	0.116	0.707	0.164	0.192	5.000
TMPRSS12-3	TMPRSS12	1669.667	-0.103	0.707	-0.145	0.107	5.000
ERCC6L2-4	ERCC6L2	1669.333	0.179	0.707	0.253	0.120	5.000
RPL5-5	RPL5	1669.333	-3.254	0.707	-4.602	1.753	5.000
FBXO34-5	FBXO34	1668.667	-0.199	0.707	-0.281	0.146	5.000
chr21_1	chr21_1	1667.667	0.180	0.707	0.255	0.000	1.000
NEUROD2-3	NEUROD2	1667.000	0.087	0.707	0.123	0.157	5.000
HMGB3-4	HMGB3	1666.667	0.360	0.707	0.509	0.368	5.000
TESK1-2	TESK1	1666.667	0.301	0.707	0.425	0.386	5.000
FGF20-4	FGF20	1666.000	0.181	0.707	0.256	0.117	5.000
UBE2QL1-2	UBE2QL1	1665.333	0.209	0.707	0.295	0.067	5.000
CXCL9-3	CXCL9	1665.000	0.158	0.707	0.223	0.070	5.000
C3orf67-5	C3orf67	1665.000	0.247	0.707	0.349	0.096	5.000
chr14_3	chr14_3	1664.667	0.064	0.707	0.091	0.000	1.000
DDB1-3	DDB1	1664.333	-1.773	0.707	-2.508	1.008	5.000
PRR21-4	PRR21	1664.333	0.290	0.707	0.410	0.109	5.000
NELL1-5	NELL1	1664.000	0.102	0.707	0.144	0.178	5.000
DIDO1-3	DIDO1	1662.333	-0.879	0.707	-1.243	0.476	5.000
ADH4-2	ADH4	1662.333	0.001	0.707	0.002	0.251	5.000
CCL8-4	CCL8	1662.000	0.246	0.707	0.348	0.168	5.000
MADD-4	MADD	1661.333	-1.252	0.707	-1.771	0.834	5.000
CDHR5-2	CDHR5	1661.333	0.011	0.707	0.015	0.140	5.000
PRKG1-1	PRKG1	1660.000	0.057	0.707	0.081	0.108	5.000
RPL27-5	RPL27	1657.333	0.063	0.707	0.089	1.876	5.000
LYSMD3-4	LYSMD3	1657.000	0.290	0.707	0.410	0.074	5.000
GNA11-4	GNA11	1657.000	0.256	0.707	0.362	0.271	5.000
USP18-5	USP18	1657.000	-0.299	0.707	-0.424	0.255	5.000
LGR5-5	LGR5	1656.333	0.191	0.707	0.270	0.157	5.000
LTN1-4	LTN1	1656.000	0.272	0.707	0.385	0.249	5.000
TOP3A-1	TOP3A	1655.333	-0.457	0.707	-0.647	0.538	5.000
PSMD7-3	PSMD7	1655.000	-0.850	0.707	-1.203	0.944	5.000
CEACAM20-3	CEACAM20	1654.000	0.067	0.707	0.095	0.256	5.000
IQSEC3-2	IQSEC3	1654.000	0.008	0.707	0.012	0.318	5.000
chr12_10	chr12_10	1654.000	0.249	0.707	0.353	0.000	1.000
GRHL1-2	GRHL1	1654.000	0.273	0.707	0.386	0.092	5.000
MANSC1-1	MANSC1	1654.000	-0.329	0.707	-0.465	0.285	5.000
PRRC2A-3	PRRC2A	1653.667	0.005	0.707	0.007	0.339	5.000
chr18_10	chr18_10	1653.667	0.264	0.707	0.373	0.000	1.000
DMRTC1B-1	DMRTC1B	1652.667	-0.137	0.707	-0.194	0.171	5.000
SCCPDH-5	SCCPDH	1652.333	0.175	0.707	0.247	0.105	5.000
FAM71E1-1	FAM71E1	1652.000	0.030	0.707	0.043	0.153	5.000
MPP3-4	MPP3	1651.333	0.030	0.707	0.042	0.177	5.000
DPY19L2-3	DPY19L2	1650.667	0.204	0.707	0.288	0.316	5.000
PLA2G2A-1	PLA2G2A	1650.333	0.112	0.707	0.158	0.141	5.000
DNA2-5	DNA2	1650.333	-4.771	0.707	-6.748	1.106	5.000
KLLN-3	KLLN	1649.000	0.201	0.707	0.284	0.117	5.000
GRID2IP-5	GRID2IP	1647.667	0.263	0.707	0.372	0.160	5.000
PRR15-4	PRR15	1647.667	0.164	0.707	0.232	0.076	5.000
LYSMD3-3	LYSMD3	1647.333	0.306	0.707	0.432	0.074	5.000
RNF220-2	RNF220	1646.333	0.333	0.707	0.471	0.127	5.000
SLC38A4-4	SLC38A4	1646.333	-0.102	0.707	-0.145	0.131	5.000
DSG4-3	DSG4	1646.333	0.237	0.707	0.335	0.626	5.000
CPT2-5	CPT2	1646.000	0.022	0.707	0.032	0.149	5.000
TNNT1-3	TNNT1	1645.667	0.072	0.707	0.102	0.143	5.000
COPS8-5	COPS8	1645.000	-1.260	0.707	-1.782	1.063	5.000
chr15_1	chr15_1	1645.000	0.122	0.707	0.172	0.000	1.000
C11orf42-4	C11orf42	1645.000	0.329	0.707	0.465	0.551	5.000
C7orf69-4	C7orf69	1645.000	0.158	0.707	0.223	0.094	5.000
CH25H-5	CH25H	1644.333	0.181	0.707	0.256	0.216	5.000
CLDN7-4	CLDN7	1644.000	0.048	0.715	0.067	0.181	5.000
TMEM38B-2	TMEM38B	1642.667	0.077	0.715	0.108	0.081	5.000
DSG4-5	DSG4	1641.667	0.179	0.715	0.250	0.626	5.000
TMPRSS13-5	TMPRSS13	1641.667	0.214	0.715	0.299	0.044	5.000
CNTNAP4-3	CNTNAP4	1640.333	0.018	0.715	0.025	0.092	5.000
NOS1-5	NOS1	1640.333	0.315	0.715	0.440	0.177	5.000
PRR21-1	PRR21	1640.000	0.315	0.715	0.440	0.109	5.000
ST6GAL2-1	ST6GAL2	1639.667	-0.207	0.715	-0.289	0.153	5.000
C7orf69-3	C7orf69	1639.000	0.090	0.715	0.126	0.094	5.000
SLC50A1-4	SLC50A1	1639.000	0.129	0.715	0.180	0.164	5.000
PID1-3	PID1	1639.000	0.228	0.715	0.319	0.475	5.000
EPDR1-2	EPDR1	1638.667	0.062	0.715	0.087	0.121	5.000
MSH6-3	MSH6	1638.333	0.022	0.715	0.030	0.137	5.000
HIST4H4-2	HIST4H4	1637.000	-0.129	0.715	-0.181	0.837	5.000
RFC3-5	RFC3	1636.667	-1.736	0.715	-2.428	0.741	5.000
SPZ1-2	SPZ1	1635.000	0.213	0.715	0.298	0.122	5.000
RIT1-3	RIT1	1634.333	0.170	0.715	0.238	0.114	5.000
RPS8-2	RPS8	1634.000	-1.813	0.715	-2.536	1.645	5.000
GABRB1-5	GABRB1	1634.000	0.144	0.715	0.202	0.190	5.000
DRD2-1	DRD2	1633.000	0.048	0.715	0.067	0.092	5.000
SMIM18-2	SMIM18	1632.333	0.086	0.715	0.121	0.041	5.000
NEUROD2-5	NEUROD2	1630.333	0.066	0.715	0.092	0.157	5.000
RPS9-5	RPS9	1629.667	0.338	0.715	0.472	1.572	5.000
BMP10-2	BMP10	1629.333	-0.125	0.715	-0.174	0.134	5.000
chr1_10	chr1_10	1629.000	0.075	0.715	0.105	0.000	1.000
TMEM38B-1	TMEM38B	1628.667	0.036	0.716	0.051	0.081	5.000
SDCCAG3-4	SDCCAG3	1628.333	-0.121	0.716	-0.169	0.291	5.000
PMS1-2	PMS1	1628.333	0.147	0.716	0.206	0.154	5.000
HLA-DOB-4	HLA-DOB	1628.333	0.062	0.716	0.087	0.085	5.000
KCNK17-1	KCNK17	1628.000	0.268	0.716	0.375	0.639	5.000
CLEC14A-1	CLEC14A	1627.333	0.237	0.716	0.331	0.085	5.000
CCDC69-1	CCDC69	1627.000	0.052	0.716	0.073	0.108	5.000
ALDH1A3-5	ALDH1A3	1627.000	0.049	0.716	0.069	0.130	5.000
ATP5L-2	ATP5L	1625.667	0.158	0.716	0.221	0.565	5.000
VEZT-1	VEZT	1625.000	-0.837	0.716	-1.170	0.225	5.000
C3orf67-1	C3orf67	1624.333	0.155	0.716	0.216	0.096	5.000
HYDIN-3	HYDIN	1624.000	0.095	0.716	0.133	0.359	5.000
SLC38A4-5	SLC38A4	1623.667	-0.151	0.716	-0.211	0.131	5.000
HIST1H2AE-1	HIST1H2AE	1622.667	-0.415	0.716	-0.580	0.418	5.000
C3orf67-4	C3orf67	1622.000	0.200	0.716	0.280	0.096	5.000
COPB1-2	COPB1	1622.000	-1.247	0.716	-1.742	1.213	5.000
SHROOM4-2	SHROOM4	1621.667	0.285	0.716	0.398	0.054	5.000
HEXA-5	HEXA	1621.333	0.093	0.716	0.131	0.106	5.000
chr13_1	chr13_1	1621.333	0.271	0.716	0.379	0.000	1.000
TGFBR2-3	TGFBR2	1621.000	0.061	0.716	0.085	0.064	5.000
GABRA2-4	GABRA2	1620.667	0.174	0.716	0.243	0.214	5.000
MED12-5	MED12	1620.333	1.055	0.716	1.474	0.201	5.000
AXIN2-2	AXIN2	1620.333	0.004	0.716	0.006	0.145	5.000
FBN3-2	FBN3	1620.333	-0.005	0.716	-0.007	0.156	5.000
HDAC5-4	HDAC5	1620.000	0.421	0.716	0.588	0.221	5.000
chr2_10	chr2_10	1619.333	0.096	0.716	0.134	0.000	1.000
C1QL4-3	C1QL4	1619.333	0.008	0.716	0.011	0.392	5.000
SPZ1-1	SPZ1	1618.667	0.197	0.716	0.275	0.122	5.000
CEACAM20-5	CEACAM20	1617.667	-0.161	0.716	-0.224	0.256	5.000
NELL1-1	NELL1	1617.333	0.191	0.716	0.266	0.178	5.000
MSH4-1	MSH4	1617.000	-0.049	0.716	-0.069	0.238	5.000
SHF-1	SHF	1617.000	0.088	0.716	0.123	0.068	5.000
NCK2-2	NCK2	1616.667	0.029	0.716	0.041	0.170	5.000
STRN3-3	STRN3	1616.667	-0.354	0.716	-0.494	0.239	5.000
SDCCAG3-5	SDCCAG3	1615.667	0.265	0.716	0.370	0.291	5.000
MYOT-2	MYOT	1615.333	0.141	0.716	0.197	0.047	5.000
MROH2B-2	MROH2B	1614.000	0.164	0.716	0.230	0.129	5.000
PCTP-1	PCTP	1614.000	0.108	0.716	0.151	0.158	5.000
LFNG-1	LFNG	1613.667	0.134	0.716	0.187	0.123	5.000
PNMA1-2	PNMA1	1613.333	-0.308	0.716	-0.431	1.154	5.000
DHX36-3	DHX36	1613.000	-1.349	0.716	-1.885	0.508	5.000
DEFB116-1	DEFB116	1612.667	0.161	0.716	0.225	0.045	5.000
ETNK1-4	ETNK1	1611.667	-0.389	0.716	-0.544	0.218	5.000
BMP3-1	BMP3	1611.333	0.147	0.716	0.206	0.223	5.000
EIF4E2-1	EIF4E2	1611.000	0.418	0.716	0.584	0.227	5.000
RBPJL-4	RBPJL	1611.000	0.138	0.716	0.193	0.073	5.000
RXFP4-2	RXFP4	1610.333	0.164	0.716	0.229	0.109	5.000
C1QL4-5	C1QL4	1610.000	-0.556	0.716	-0.777	0.392	5.000
SOCS7-5	SOCS7	1609.667	0.084	0.716	0.117	0.134	5.000
MLH1-3	MLH1	1609.667	-0.157	0.716	-0.220	0.218	5.000
PSMB2-4	PSMB2	1609.333	-3.679	0.720	-5.110	0.429	5.000
KRTAP12-4-2	KRTAP12-4	1608.667	0.198	0.720	0.275	0.497	5.000
LMNA-3	LMNA	1608.667	-0.095	0.720	-0.132	0.175	5.000
UNKL-3	UNKL	1608.667	0.152	0.720	0.211	0.131	5.000
LYSMD3-5	LYSMD3	1606.667	0.327	0.720	0.455	0.074	5.000
APITD1-3	APITD1	1606.333	-0.247	0.720	-0.342	0.201	5.000
RSPH14-5	RSPH14	1605.667	0.096	0.720	0.133	0.041	5.000
POLE-2	POLE	1604.667	-4.963	0.720	-6.894	1.564	5.000
FOXRED2-2	FOXRED2	1604.333	-0.130	0.720	-0.181	0.182	5.000
CEACAM5-2	CEACAM5	1604.333	0.100	0.720	0.139	0.298	5.000
POLD3-4	POLD3	1604.333	-0.577	0.720	-0.802	1.938	5.000
PCGF1-4	PCGF1	1603.000	-0.007	0.720	-0.009	0.072	5.000
LY6G5C-3	LY6G5C	1602.667	-0.061	0.720	-0.084	0.192	5.000
DXO-1	DXO	1602.667	0.332	0.720	0.462	0.280	5.000
GBP2-3	GBP2	1601.000	0.130	0.720	0.181	0.089	5.000
chr3_6	chr3_6	1601.000	0.328	0.720	0.456	0.000	1.000
PSMC4-4	PSMC4	1600.667	-2.539	0.720	-3.527	1.689	5.000
CUEDC1-2	CUEDC1	1600.333	0.246	0.720	0.341	0.264	5.000
TBX10-4	TBX10	1600.333	0.221	0.720	0.307	0.161	5.000
OR2A14-4	OR2A14	1600.000	0.114	0.720	0.158	0.080	5.000
ELP4-2	ELP4	1600.000	-0.113	0.720	-0.157	0.233	5.000
NFKBID-1	NFKBID	1599.667	0.086	0.720	0.120	0.204	5.000
PSMD1-2	PSMD1	1599.333	-0.671	0.720	-0.931	0.000	1.000
HDHD3-5	HDHD3	1599.000	0.120	0.720	0.167	0.129	5.000
ALDH1A3-3	ALDH1A3	1598.000	-0.008	0.720	-0.011	0.130	5.000
ASXL1-2	ASXL1	1598.000	0.377	0.724	0.521	0.172	5.000
LYZL1-5	LYZL1	1598.000	-0.395	0.724	-0.546	0.231	5.000
FBLN2-4	FBLN2	1598.000	0.396	0.724	0.548	0.288	5.000
RXFP4-5	RXFP4	1597.333	0.142	0.724	0.197	0.109	5.000
HPN-4	HPN	1597.000	0.043	0.724	0.059	0.118	5.000
RPL36-2	RPL36	1596.333	-1.490	0.724	-2.058	1.477	5.000
PCDHGA9-3	PCDHGA9	1596.000	0.293	0.724	0.404	0.198	5.000
GABRA2-5	GABRA2	1595.667	0.411	0.724	0.568	0.214	5.000
POLI-4	POLI	1595.333	0.065	0.724	0.089	0.116	5.000
POTEH-4	POTEH	1594.000	-0.859	0.724	-1.187	0.640	5.000
PRR11-3	PRR11	1593.667	0.018	0.724	0.025	0.033	5.000
MEF2D-1	MEF2D	1593.667	0.192	0.724	0.266	0.092	5.000
PSMC2-1	PSMC2	1593.667	-1.620	0.724	-2.238	1.206	5.000
POLD2-4	POLD2	1593.333	-4.042	0.724	-5.585	1.584	5.000
FAM78A-1	FAM78A	1593.000	0.206	0.724	0.285	0.141	5.000
ZNF345-2	ZNF345	1592.667	-0.072	0.724	-0.100	0.130	5.000
DIDO1-5	DIDO1	1591.667	0.159	0.724	0.220	0.476	5.000
FAM71E1-3	FAM71E1	1591.000	0.079	0.724	0.110	0.153	5.000
COPS6-1	COPS6	1591.000	-0.549	0.724	-0.758	0.525	5.000
SDCCAG3-2	SDCCAG3	1590.333	0.065	0.724	0.090	0.291	5.000
LIMA1-4	LIMA1	1590.000	0.073	0.724	0.101	0.992	5.000
FBN3-3	FBN3	1590.000	0.231	0.724	0.319	0.156	5.000
ASTE1-3	ASTE1	1589.667	0.010	0.724	0.013	0.114	5.000
MYOT-3	MYOT	1589.333	0.133	0.724	0.183	0.047	5.000
PRPS2-4	PRPS2	1589.000	0.280	0.724	0.386	0.060	5.000
IQSEC3-4	IQSEC3	1588.667	-0.091	0.731	-0.125	0.318	5.000
CEP78-3	CEP78	1588.000	0.236	0.731	0.323	0.515	5.000
KCNK5-1	KCNK5	1587.333	0.292	0.731	0.400	0.213	5.000
APOL1-2	APOL1	1587.000	-0.027	0.731	-0.037	0.202	5.000
RPA1-4	RPA1	1586.000	-4.026	0.731	-5.510	2.688	5.000
HEG1-3	HEG1	1586.000	0.042	0.731	0.058	0.195	5.000
TCF7-5	TCF7	1585.333	0.447	0.731	0.613	0.263	5.000
NCK2-1	NCK2	1584.333	0.180	0.731	0.246	0.170	5.000
CTSS-4	CTSS	1584.000	-0.025	0.731	-0.034	0.135	5.000
chr3_10	chr3_10	1583.667	0.181	0.731	0.248	0.000	1.000
EIF4E2-5	EIF4E2	1583.000	0.360	0.731	0.493	0.227	5.000
HS3ST4-4	HS3ST4	1583.000	0.059	0.731	0.081	0.142	5.000
RPL5-2	RPL5	1582.667	-1.269	0.731	-1.736	1.753	5.000
PHC3-5	PHC3	1582.667	-0.131	0.731	-0.179	0.131	5.000
VIPR2-2	VIPR2	1582.667	0.188	0.731	0.257	0.207	5.000
chr16_5	chr16_5	1582.333	0.079	0.731	0.109	0.000	1.000
VWA5B1-3	VWA5B1	1582.000	0.202	0.731	0.277	0.574	5.000
CCDC69-4	CCDC69	1582.000	0.183	0.731	0.250	0.108	5.000
STRN3-4	STRN3	1581.667	0.035	0.731	0.048	0.239	5.000
TK2-4	TK2	1581.333	0.274	0.731	0.374	0.107	5.000
RHOG-4	RHOG	1581.000	0.092	0.731	0.126	0.135	5.000
ZMYM5-5	ZMYM5	1580.667	0.092	0.731	0.126	0.118	5.000
CRISPLD2-4	CRISPLD2	1579.667	0.091	0.731	0.125	0.553	5.000
CAMK1D-3	CAMK1D	1579.667	0.084	0.731	0.114	0.096	5.000
HIST4H4-1	HIST4H4	1578.000	0.134	0.731	0.183	0.837	5.000
FAM109A-3	FAM109A	1577.667	0.104	0.731	0.143	0.069	5.000
chr15_9	chr15_9	1577.000	0.322	0.731	0.441	0.000	1.000
PCYT1A-4	PCYT1A	1576.000	-0.141	0.731	-0.193	0.491	5.000
SDCCAG3-1	SDCCAG3	1576.000	-0.210	0.731	-0.288	0.291	5.000
MADD-2	MADD	1575.333	0.225	0.731	0.308	0.834	5.000
MLH1-5	MLH1	1574.667	0.247	0.731	0.338	0.218	5.000
SHC2-4	SHC2	1573.667	0.229	0.731	0.314	0.288	5.000
NELL1-3	NELL1	1573.000	0.069	0.731	0.095	0.178	5.000
GRP-2	GRP	1573.000	0.302	0.731	0.413	0.173	5.000
CCDC69-2	CCDC69	1572.333	0.115	0.731	0.157	0.108	5.000
GGT7-4	GGT7	1572.000	0.281	0.731	0.384	0.105	5.000
chr4_5	chr4_5	1571.000	0.378	0.731	0.517	0.000	1.000
RPS7-5	RPS7	1570.333	0.197	0.731	0.270	0.723	5.000
chr21_8	chr21_8	1570.000	-0.137	0.731	-0.188	0.000	1.000
FGF20-3	FGF20	1568.667	0.163	0.731	0.224	0.117	5.000
IL2RG-2	IL2RG	1568.667	0.266	0.731	0.365	0.112	5.000
RPL11-2	RPL11	1568.333	-2.620	0.731	-3.586	1.138	5.000
COPS8-3	COPS8	1568.333	0.197	0.731	0.270	1.063	5.000
RPS19-5	RPS19	1568.333	-2.342	0.731	-3.205	1.395	5.000
NEU4-5	NEU4	1567.667	0.188	0.731	0.257	0.073	5.000
OSR1-2	OSR1	1567.333	0.170	0.731	0.233	0.092	5.000
OLFML3-5	OLFML3	1567.333	-0.320	0.731	-0.438	0.203	5.000
RPS11-2	RPS11	1567.000	-1.536	0.731	-2.102	1.071	5.000
AAGAB-4	AAGAB	1566.333	0.368	0.731	0.504	0.172	5.000
ETV3L-2	ETV3L	1565.667	0.119	0.731	0.163	0.130	5.000
AADAT-1	AADAT	1565.667	0.182	0.731	0.249	0.041	5.000
OR6N2-3	OR6N2	1565.000	0.161	0.731	0.220	0.079	5.000
CLEC14A-2	CLEC14A	1564.333	0.271	0.731	0.371	0.085	5.000
COPS8-2	COPS8	1564.333	-0.131	0.731	-0.179	1.063	5.000
IL2RG-4	IL2RG	1564.000	0.143	0.731	0.195	0.112	5.000
ZNF665-1	ZNF665	1563.667	-0.318	0.731	-0.435	0.341	5.000
TMEM198-3	TMEM198	1563.667	0.308	0.731	0.421	0.295	5.000
PPP1R3D-1	PPP1R3D	1563.333	0.052	0.731	0.071	0.120	5.000
RAD1-4	RAD1	1562.333	-0.420	0.731	-0.575	0.209	5.000
MANSC1-2	MANSC1	1562.000	0.073	0.731	0.100	0.285	5.000
SHF-3	SHF	1561.667	0.193	0.731	0.264	0.068	5.000
GPR87-3	GPR87	1561.667	-0.038	0.731	-0.052	0.173	5.000
SHROOM4-4	SHROOM4	1561.667	0.335	0.731	0.459	0.054	5.000
HS3ST4-2	HS3ST4	1561.667	-0.116	0.731	-0.158	0.142	5.000
NFKBID-5	NFKBID	1561.333	-0.184	0.731	-0.252	0.204	5.000
chr5_1	chr5_1	1560.333	0.244	0.731	0.334	0.000	1.000
QKI-2	QKI	1560.333	0.278	0.731	0.381	0.075	5.000
